combo,mrpc,boolq,rte,cola,cb,scitail,stsb,cr,rotten_tomatoes,multirc,copa,piqa
mnli+paws+imdb,0.5098039215686274,0.591743119266055,0.5415162454873647,0.6212847555129435,0.7321428571428571,0.8278457196613358,0.42356002846805546,0.875,0.8705440900562852,0.7291666666666666,0.45,0.2279651795429815
mnli+paws+squad_v2,0.4583333333333333,0.6339449541284403,0.5270758122743683,0.4841802492809204,0.7857142857142857,0.8306679209783632,0.3037235603030095,0.8085106382978723,0.7879924953095685,0.7460808580858086,0.05,0.010337323177366704
mnli+paws+winogrande,0.45588235294117646,0.581039755351682,0.5451263537906137,0.5273250239693192,0.7678571428571429,0.8377234242709313,0.3897558335426122,0.824468085106383,0.7354596622889306,0.7446369636963697,0.39,0.04515778019586507
mnli+qnli+anli_r1,0.32107843137254904,0.5061162079510704,0.5812274368231047,0.588686481303931,0.7678571428571429,0.5597365945437441,0.39786753533425584,0.8457446808510638,0.8227016885553471,0.673473597359736,0.31,0.10282916213275299
mnli+qnli+hellaswag,0.3161764705882353,0.5217125382262997,0.5270758122743683,0.5963566634707574,0.7678571428571429,0.47130761994355597,0.4669506220576097,0.8377659574468085,0.7542213883677298,0.6349009900990099,0.61,0.5522306855277476
mnli+qnli+imdb,0.3161764705882353,0.45535168195718656,0.5306859205776173,0.6337488015340365,0.7321428571428571,0.5559736594543744,0.5234844181484225,0.8776595744680851,0.8714821763602252,0.6043729372937293,0.49,0.4548422198041349
mnli+qnli+paws,0.3161764705882353,0.5877675840978593,0.5306859205776173,0.5426653883029722,0.75,0.5056444026340545,0.5014586747016117,0.8271276595744681,0.5834896810506567,0.7524752475247525,0.26,0.05223068552774755
mnli+qnli+qqp,0.3161764705882353,0.36299694189602444,0.7292418772563177,0.3595397890699904,0.4107142857142857,0.5954844778927564,0.4969221239934226,0.8430851063829787,0.8208255159474672,0.6070544554455446,0.14,0.01958650707290533
mnli+qnli+record,0.3161764705882353,0.5795107033639144,0.5270758122743683,0.5637583892617449,0.5892857142857143,0.5009407337723424,0.45827081051084206,0.8563829787234043,0.801125703564728,0.7009075907590759,0.29,0.057127312295973884
mnli+qnli+snli,0.31862745098039214,0.5672782874617737,0.5270758122743683,0.49185043144774687,0.7857142857142857,0.6368767638758231,0.3630138891888473,0.5771276595744681,0.1303939962476548,0.6982260726072608,0.13,0.009793253536452665
