combo,mrpc,boolq,rte,cola,cb,scitail,cr,rotten_tomatoes,multirc,copa,piqa
sst2+snli+anli_r1+paws+winogrande,0.3627450980392157,0.5923547400611621,0.6028880866425993,0.5330776605944392,0.75,0.8024459078080903,0.875,0.8630393996247655,0.6759488448844885,0.59,0.35092491838955386
sst2+snli+imdb+hellaswag+winogrande,0.39215686274509803,0.5042813455657492,0.5270758122743683,0.6116970278044104,0.5892857142857143,0.7652869238005644,0.9175531914893617,0.899624765478424,0.5387788778877888,0.71,0.6855277475516867
sst2+snli+paws+hellaswag+winogrande,0.3897058823529412,0.5990825688073395,0.5270758122743683,0.5369127516778524,0.7142857142857143,0.7845719661335842,0.8670212765957447,0.8705440900562852,0.6881188118811881,0.71,0.5843307943416758
sst2+snli+paws+imdb+hellaswag,0.40931372549019607,0.5807339449541284,0.5379061371841155,0.62320230105465,0.6607142857142857,0.7629350893697083,0.9122340425531915,0.900562851782364,0.6351072607260726,0.68,0.6354733405875952
sst2+snli+paws+imdb+winogrande,0.4264705882352941,0.5850152905198777,0.5306859205776173,0.5800575263662512,0.7142857142857143,0.7394167450611477,0.9122340425531915,0.8949343339587242,0.6396452145214522,0.61,0.5429815016322089
mnli+anli_r1+paws+imdb+hellaswag+winogrande,0.46078431372549017,0.5807339449541284,0.5415162454873647,0.5829338446788112,0.8392857142857143,0.8325493885230479,0.8882978723404256,0.8705440900562852,0.6732673267326733,0.65,0.6697497279651795
mnli+qnli+anli_r1+imdb+hellaswag+winogrande,0.33088235294117646,0.5247706422018349,0.5848375451263538,0.5992329817833174,0.8035714285714286,0.5917215428033866,0.8909574468085106,0.8658536585365854,0.5573432343234324,0.68,0.6436343852013058
mnli+qnli+anli_r1+paws+hellaswag+winogrande,0.3235294117647059,0.6,0.5956678700361011,0.5397890699904123,0.7857142857142857,0.5634995296331138,0.8643617021276596,0.8292682926829268,0.7429867986798679,0.6,0.5277475516866159
mnli+qnli+anli_r1+paws+imdb+hellaswag,0.3333333333333333,0.5850152905198777,0.5848375451263538,0.5934803451581975,0.75,0.5917215428033866,0.8882978723404256,0.8564727954971857,0.6817244224422442,0.62,0.6022850924918389
mnli+qnli+anli_r1+paws+imdb+winogrande,0.33088235294117646,0.5819571865443425,0.5812274368231047,0.5647171620325983,0.7678571428571429,0.5931326434619003,0.8776595744680851,0.8611632270168855,0.683993399339934,0.59,0.514145810663765
mnli+qnli+paws+imdb+hellaswag+winogrande,0.32598039215686275,0.582262996941896,0.5342960288808665,0.5560882070949185,0.7678571428571429,0.5818438381937912,0.898936170212766,0.874296435272045,0.6974009900990099,0.61,0.5854189336235038
