method,combo,n_tasks,target,best_coef,best_acc,nai,sar,sar_iso
base,imdb+hellaswag+winogrande,3,cola,0.15000000000000002,0.6289549376797698,-0.211428571428572,,
base,imdb+hellaswag+winogrande,3,cb,0.35000000000000003,0.16071428571428573,0.225,,
base,imdb+hellaswag+winogrande,3,scitail,0.25,0.6180620884289746,0.6388888888888888,,
base,imdb+hellaswag+winogrande,3,cr,0.30000000000000004,0.9122340425531915,0.9681978798586574,,
base,imdb+hellaswag+winogrande,3,rotten_tomatoes,0.30000000000000004,0.9043151969981238,0.9755434782608695,,
base,imdb+hellaswag+winogrande,3,multirc,0.1,0.4923679867986799,0.12605879422022928,,
base,imdb+hellaswag+winogrande,3,copa,0.30000000000000004,0.73,0.9555555555555555,,
base,imdb+hellaswag+winogrande,3,piqa,0.35000000000000003,0.721436343852013,0.8204804045512011,,
base,imdb+squad_v2,2,mrpc,0.5,0.625,0.7354651162790697,,
base,imdb+squad_v2,2,boolq,0.1,0.5336391437308868,0.33171408743927827,,
base,imdb+squad_v2,2,rte,0.45,0.628158844765343,0.710344827586207,,
base,imdb+squad_v2,2,cola,0.4,0.5675934803451582,-0.5771428571428573,,
base,imdb+squad_v2,2,cb,0.4,0.21428571428571427,0.3,,
base,imdb+squad_v2,2,scitail,0.4,0.6302916274694261,0.6517857142857142,,
base,imdb+squad_v2,2,cr,0.25,0.9095744680851063,0.9646643109540635,,
base,imdb+squad_v2,2,rotten_tomatoes,0.35000000000000003,0.8855534709193246,0.9483695652173915,,
base,imdb+squad_v2,2,multirc,0.1,0.5039191419141914,0.1539611360239163,,
base,imdb+squad_v2,2,copa,0.4,0.12,-0.39999999999999997,,
base,imdb+squad_v2,2,piqa,0.8,0.011425462459194777,-0.8293299620733249,,
base,imdb+winogrande,2,mrpc,0.5,0.5906862745098039,0.6947674418604651,,
base,imdb+winogrande,2,boolq,0.05,0.40856269113149846,0.04788341429562798,,
base,imdb+winogrande,2,rte,0.5,0.631768953068592,0.7172413793103448,,
base,imdb+winogrande,2,cola,0.15000000000000002,0.6069031639501438,-0.34285714285714347,,
base,imdb+winogrande,2,cb,0.4,0.16071428571428573,0.225,,
base,imdb+winogrande,2,scitail,0.30000000000000004,0.6119473189087489,0.6324404761904762,,
base,imdb+winogrande,2,cr,0.30000000000000004,0.9122340425531915,0.9681978798586574,,
base,imdb+winogrande,2,rotten_tomatoes,0.5,0.9061913696060038,0.9782608695652174,,
base,imdb+winogrande,2,multirc,0.15000000000000002,0.5152640264026402,0.1813652217239661,,
base,imdb+winogrande,2,copa,0.4,0.72,0.9333333333333332,,
base,imdb+winogrande,2,piqa,0.65,0.6844396082698585,0.7345132743362831,,
base,mnli+anli_r1,2,mrpc,0.1,0.4803921568627451,0.563953488372093,,
base,mnli+anli_r1,2,boolq,0.1,0.5697247706422018,0.4136016655100625,,
base,mnli+anli_r1,2,rte,0.1,0.5270758122743683,0.517241379310345,,
base,mnli+anli_r1,2,cola,0.1,0.6347075743048898,-0.17714285714285719,,
base,mnli+anli_r1,2,cb,0.7000000000000001,0.7678571428571429,1.075,,
base,mnli+anli_r1,2,scitail,0.25,0.8198494825964252,0.8516865079365079,,
base,mnli+anli_r1,2,cr,0.1,0.7925531914893617,0.8091872791519436,,
base,mnli+anli_r1,2,rotten_tomatoes,0.1,0.7626641651031895,0.7703804347826088,,
base,mnli+anli_r1,2,multirc,0.15000000000000002,0.6763613861386139,0.5705032386646737,,
base,mnli+anli_r1,2,copa,0.2,0.3,0.0,,
base,mnli+anli_r1,2,piqa,0.2,0.08052230685527748,-0.6687737041719343,,
base,mnli+anli_r1+hellaswag,3,mrpc,0.1,0.44607843137254904,0.5232558139534884,,
base,mnli+anli_r1+hellaswag,3,boolq,0.05,0.5275229357798165,0.31783483691880626,,
base,mnli+anli_r1+hellaswag,3,rte,0.05,0.5270758122743683,0.517241379310345,,
base,mnli+anli_r1+hellaswag,3,cola,0.1,0.6471716203259827,-0.1028571428571431,,
base,mnli+anli_r1+hellaswag,3,cb,0.9500000000000001,0.8214285714285714,1.15,,
base,mnli+anli_r1+hellaswag,3,scitail,0.2,0.8254938852304797,0.8576388888888888,,
base,mnli+anli_r1+hellaswag,3,cr,0.1,0.8058510638297872,0.8268551236749118,,
base,mnli+anli_r1+hellaswag,3,rotten_tomatoes,0.1,0.7917448405253283,0.8125000000000001,,
base,mnli+anli_r1+hellaswag,3,multirc,0.1,0.6146864686468647,0.42152466367713015,,
base,mnli+anli_r1+hellaswag,3,copa,0.15000000000000002,0.6,0.6666666666666666,,
base,mnli+anli_r1+hellaswag,3,piqa,0.2,0.6169749727965179,0.5777496839443742,,
base,mnli+anli_r1+hellaswag+winogrande,4,mrpc,0.15000000000000002,0.4068627450980392,0.47674418604651164,,
base,mnli+anli_r1+hellaswag+winogrande,4,boolq,0.05,0.5412844036697247,0.3490631505898681,,
base,mnli+anli_r1+hellaswag+winogrande,4,rte,0.05,0.5379061371841155,0.5379310344827586,,
base,mnli+anli_r1+hellaswag+winogrande,4,cola,0.1,0.5867689357622243,-0.4628571428571433,,
base,mnli+anli_r1+hellaswag+winogrande,4,cb,1.05,0.8392857142857143,1.175,,
base,mnli+anli_r1+hellaswag+winogrande,4,scitail,0.2,0.8245531514581373,0.8566468253968254,,
base,mnli+anli_r1+hellaswag+winogrande,4,cr,0.1,0.8164893617021277,0.8409893992932864,,
base,mnli+anli_r1+hellaswag+winogrande,4,rotten_tomatoes,0.1,0.7964352720450282,0.8192934782608697,,
base,mnli+anli_r1+hellaswag+winogrande,4,multirc,0.1,0.6256188118811881,0.44793223716990527,,
base,mnli+anli_r1+hellaswag+winogrande,4,copa,0.15000000000000002,0.7,0.8888888888888888,,
base,mnli+anli_r1+hellaswag+winogrande,4,piqa,0.15000000000000002,0.6561479869423286,0.6687737041719342,,
base,mnli+anli_r1+imdb,3,mrpc,0.15000000000000002,0.47058823529411764,0.5523255813953488,,
base,mnli+anli_r1+imdb,3,boolq,0.05,0.5076452599388379,0.2727272727272727,,
base,mnli+anli_r1+imdb,3,rte,0.1,0.5270758122743683,0.517241379310345,,
base,mnli+anli_r1+imdb,3,cola,0.1,0.6538830297219559,-0.06285714285714315,,
base,mnli+anli_r1+imdb,3,cb,0.8500000000000001,0.7678571428571429,1.075,,
base,mnli+anli_r1+imdb,3,scitail,0.25,0.8179680150517403,0.8497023809523809,,
base,mnli+anli_r1+imdb,3,cr,0.1,0.8643617021276596,0.9045936395759719,,
base,mnli+anli_r1+imdb,3,rotten_tomatoes,0.1,0.8621013133208255,0.9144021739130435,,
base,mnli+anli_r1+imdb,3,multirc,0.1,0.5462046204620462,0.2561036372695566,,
base,mnli+anli_r1+imdb,3,copa,0.15000000000000002,0.45,0.33333333333333337,,
base,mnli+anli_r1+imdb,3,piqa,0.2,0.4733405875952122,0.2439949431099874,,
base,mnli+anli_r1+imdb+hellaswag,4,mrpc,0.15000000000000002,0.42892156862745096,0.502906976744186,,
base,mnli+anli_r1+imdb+hellaswag,4,boolq,0.05,0.5314984709480123,0.32685634975711325,,
base,mnli+anli_r1+imdb+hellaswag,4,rte,0.1,0.5270758122743683,0.517241379310345,,
base,mnli+anli_r1+imdb+hellaswag,4,cola,0.1,0.6577181208053692,-0.039999999999999945,,
base,mnli+anli_r1+imdb+hellaswag,4,cb,0.9,0.8392857142857143,1.175,,
base,mnli+anli_r1+imdb+hellaswag,4,scitail,0.2,0.8231420507996237,0.8551587301587301,,
base,mnli+anli_r1+imdb+hellaswag,4,cr,0.1,0.8696808510638298,0.911660777385159,,
base,mnli+anli_r1+imdb+hellaswag,4,rotten_tomatoes,0.1,0.8639774859287055,0.9171195652173914,,
base,mnli+anli_r1+imdb+hellaswag,4,multirc,0.05,0.5030940594059405,0.15196811160936713,,
base,mnli+anli_r1+imdb+hellaswag,4,copa,0.15000000000000002,0.68,0.8444444444444446,,
base,mnli+anli_r1+imdb+hellaswag,4,piqa,0.15000000000000002,0.6664853101196954,0.692793931731985,,
base,mnli+anli_r1+imdb+hellaswag+winogrande,5,mrpc,0.15000000000000002,0.44362745098039214,0.5203488372093024,,
base,mnli+anli_r1+imdb+hellaswag+winogrande,5,boolq,0.05,0.5382262996941896,0.3421235253296321,,
